TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,day_of_week,weeekday,date,month,TEMPRETURE,DEW,PRECIPITATION,RH,WIND SPD,WIND DIR
13,2,0,0,0,0,0,2,0,1,5,0,30,12,21,2,0,43,3.5,-1
13,0,0,0,0,0,0,0,0,0,5,0,30,12,21,2,0,43,3.5,-1
13,0,0,0,0,0,0,0,0,1,5,0,30,12,21,2,0,43,3.5,-1
13,0,0,0,0,0,0,0,0,1,5,0,30,12,21,2,0,43,3.5,-1
14,0,0,0,0,0,0,0,0,0,5,0,30,12,17,-8,0,32,9.2,310
14,0,0,0,0,0,0,0,0,1,5,0,30,12,17,-8,0,32,9.2,310
14,1,0,0,0,0,0,1,0,1,5,0,30,12,17,-8,0,32,9.2,310
14,0,0,0,0,0,0,0,0,1,5,0,30,12,17,-8,0,32,9.2,310
14,0,0,0,0,0,0,0,0,1,5,0,30,12,17,-8,0,32,9.2,310
14,0,0,0,0,0,0,0,0,3,5,0,30,12,17,-8,0,32,9.2,310
15,0,0,0,0,0,0,0,0,3,5,0,30,12,18,-7,0,32,8.1,300
15,0,0,0,0,0,0,0,0,0,5,0,30,12,18,-7,0,32,8.1,300
15,1,0,0,0,0,0,1,0,0,5,0,30,12,18,-7,0,32,8.1,300
15,3,0,3,0,0,0,0,0,0,5,0,30,12,18,-7,0,32,8.1,300
15,0,0,0,0,0,0,0,0,0,5,0,30,12,18,-7,0,32,8.1,300
16,0,0,0,0,0,0,0,0,0,5,0,30,12,18,-6,0,33,9.2,300
16,0,0,0,0,0,0,0,0,3,5,0,30,12,18,-6,0,33,9.2,300
16,0,0,0,0,0,0,0,0,1,5,0,30,12,18,-6,0,33,9.2,300
16,0,0,0,0,0,0,0,0,2,5,0,30,12,18,-6,0,33,9.2,300
16,0,0,0,0,0,0,0,0,1,5,0,30,12,18,-6,0,33,9.2,300
16,0,0,0,0,0,0,0,0,3,5,0,30,12,18,-6,0,33,9.2,300
16,0,0,0,0,0,0,0,0,1,5,0,30,12,18,-6,0,33,9.2,300
17,0,0,0,0,0,0,0,0,0,5,0,30,12,17,-7,0,33,10,4 280
17,0,0,0,0,0,0,0,0,2,5,0,30,12,17,-7,0,33,10,4 280
17,1,0,1,0,0,0,0,0,0,5,0,30,12,17,-7,0,33,10,4 280
17,0,0,0,0,0,0,0,0,1,5,0,30,12,17,-7,0,33,10,4 280
17,0,0,0,0,0,0,0,0,1,5,0,30,12,17,-7,0,33,10,4 280
18,0,0,0,0,0,0,0,0,0,5,0,30,12,17,-6,0,35,10,4 300
18,0,0,0,0,0,0,0,0,2,5,0,30,12,17,-6,0,35,10,4 300
18,0,0,0,0,0,0,0,0,0,5,0,30,12,17,-6,0,35,10,4 300
18,0,0,0,0,0,0,0,0,1,5,0,30,12,17,-6,0,35,10,4 300
18,0,0,0,0,0,0,0,0,3,5,0,30,12,17,-6,0,35,10,4 300
18,0,0,0,0,0,0,0,0,0,5,0,30,12,17,-6,0,35,10,4 300
18,0,0,0,0,0,0,0,0,1,5,0,30,12,17,-6,0,35,10,4 300
18,0,0,0,0,0,0,0,0,0,5,0,30,12,17,-6,0,35,10,4 300
19,0,0,0,0,0,0,0,0,1,5,0,30,12,16,-6,0,36,11,6 310
19,0,0,0,0,0,0,0,0,0,5,0,30,12,16,-6,0,36,11,6 310
19,0,0,0,0,0,0,0,0,0,5,0,30,12,16,-6,0,36,11,6 310
19,0,0,0,0,0,0,0,0,3,5,0,30,12,16,-6,0,36,11,6 310
19,0,0,0,0,0,0,0,0,1,5,0,30,12,16,-6,0,36,11,6 310
19,0,0,0,0,0,0,0,0,1,5,0,30,12,16,-6,0,36,11,6 310
1,1,0,0,0,0,0,1,0,0,5,0,30,12,17,0,0,46,4.6,-1
